period_end,county,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_ppsf,median_list_price,homes_sold,homes_sold_mom,homes_sold_yoy,median_dom,daily_cases,percentage_fully_vaccinated,risk_index,risk,cost_of_living_rank,tax_burden,medianage
2021-06-30,Beaver County,Oklahoma,OK,All Residential,-1,582000.0,,182.1026282853567,,1.0,,,249.0,944.0,0.305,3.0,Critical,44.0,7.13,37.0
2021-06-30,Columbia County,Arkansas,AR,All Residential,-1,81250.0,,51.817602040816325,,1.0,,,650.0,5195.0,0.478,2.0,High,20.0,8.8,38.0
2021-06-30,Carroll County,Mississippi,MS,All Residential,-1,191000.0,,64.26648721399731,,1.0,,,2997.0,2537.0,0.407,3.0,Critical,15.0,8.99,38.0
2021-06-30,Major County,Oklahoma,OK,All Residential,-1,200000.0,,81.79959100204499,,1.0,,,31.0,2427.0,0.492,3.0,Critical,44.0,7.13,37.0
2021-06-30,Early County,Georgia,GA,All Residential,-1,599000.0,,119.8,,1.0,,,271.0,2729.0,0.481,2.0,High,35.0,7.91,37.0
2021-06-30,Prentiss County,Mississippi,MS,All Residential,-1,33000.0,,12.741312741312742,,1.0,,,394.0,8086.0,0.418,5.0,Extreme,15.0,8.99,38.0
2021-07-31,Marion County,Texas,TX,All Residential,-1,60000.0,,54.54545454545456,,1.0,,,193.0,1629.0,0.4,3.0,Critical,30.0,8.19,35.0
2021-07-31,Terrell County,Georgia,GA,All Residential,-1,26000.0,,23.80952380952381,,1.0,,,38.0,2028.0,0.572,3.0,Critical,35.0,7.91,37.0
2021-07-31,Ellis County,Oklahoma,OK,All Residential,-1,40000.0,-0.5288574793875147,26.455026455026456,,1.0,0.0,,49.0,758.0,0.345,2.0,High,44.0,7.13,37.0
2021-07-31,Quitman County,Georgia,GA,All Residential,-1,214250.0,,142.75853528775065,299500.0,2.0,,,300.0,407.0,0.324,3.0,Critical,35.0,7.91,37.0
2021-07-31,Kimble County,Texas,TX,All Residential,-1,325000.0,,236.1918604651163,180000.0,1.0,,,15.0,665.0,0.427,3.0,Critical,30.0,8.19,35.0
2021-07-31,Lawrence County,Ohio,OH,All Residential,-1,328000.0,0.1714285714285714,214.8399386616216,,2.0,1.0,,68.0,17448.0,0.484,3.0,Critical,16.0,8.96,39.0
2021-07-31,Woods County,Oklahoma,OK,All Residential,-1,57000.0,,49.47916666666666,,1.0,,,288.0,2317.0,0.409,3.0,Critical,44.0,7.13,37.0
2021-07-31,Nevada County,Arkansas,AR,All Residential,-1,170000.0,,51.23568414707656,,1.0,,,46.0,2139.0,0.431,3.0,Critical,20.0,8.8,38.0
2021-08-31,Worth County,Georgia,GA,All Residential,-1,157000.0,4.250836120401337,118.63479262672811,,3.0,2.0,0.5,21.0,4623.0,0.409,3.0,Critical,35.0,7.91,37.0
2021-08-31,Ashley County,Arkansas,AR,All Residential,-1,97500.0,-0.2040816326530612,54.72388120810864,,2.0,1.0,1.0,132.0,5030.0,0.493,3.0,Critical,20.0,8.8,38.0
2021-08-31,Calhoun County,Mississippi,MS,All Residential,-1,33000.0,,17.107309486780714,,1.0,,,497.0,4566.0,0.433,3.0,Critical,15.0,8.99,38.0
2021-08-31,Shelby County,Texas,TX,All Residential,-1,551000.0,,118.3927804039536,287000.0,1.0,,,642.0,4293.0,0.355,3.0,Critical,30.0,8.19,35.0
2021-08-31,Humphreys County,Mississippi,MS,All Residential,-1,84500.0,-0.2958333333333332,37.70829491075716,70000.0,2.0,1.0,1.0,244.0,2002.0,0.575,3.0,Critical,15.0,8.99,38.0
2021-08-31,Shackelford County,Texas,TX,All Residential,-1,105000.0,-0.3,59.79498861047836,,1.0,-0.5,0.0,53.0,626.0,0.368,2.0,High,30.0,8.19,35.0
2021-08-31,Unicoi County,Tennessee,TN,All Residential,-1,124900.0,,79.65561224489795,,1.0,,0.0,108.0,4946.0,0.533,5.0,Extreme,49.0,5.74,39.0
2021-08-31,Throckmorton County,Texas,TX,All Residential,-1,215000.0,,95.51310528653931,,1.0,,,101.0,265.0,0.408,2.0,High,30.0,8.19,35.0
2021-08-31,Treutlen County,Georgia,GA,All Residential,-1,16500.0,,7.435781883731409,,1.0,,0.0,18.0,1609.0,0.344,3.0,Critical,35.0,7.91,37.0
2021-08-31,Webster County,Mississippi,MS,All Residential,-1,695000.0,,130.51643192488262,,1.0,,,39.0,3193.0,0.474,5.0,Extreme,15.0,8.99,38.0
2021-08-31,Stonewall County,Texas,TX,All Residential,-1,180000.0,,80.61840819961216,65000.0,2.0,,,167.0,346.0,0.4,3.0,Critical,30.0,8.19,35.0
2021-09-30,Harney County,Oregon,OR,All Residential,-1,2074300.0,,1259.4414086217364,325000.0,1.0,,,124.0,1549.0,0.455,3.0,Critical,27.0,8.29,39.0
2021-09-30,Crockett County,Tennessee,TN,All Residential,-1,199900.0,,142.78571428571428,,1.0,,,31.0,4926.0,0.476,3.0,Critical,49.0,5.74,39.0
2021-09-30,Bacon County,Georgia,GA,All Residential,-1,100000.0,-0.7142857142857143,61.95786864931846,,1.0,0.0,,51.0,3468.0,0.301,3.0,Critical,35.0,7.91,37.0
2021-09-30,Kemper County,Mississippi,MS,All Residential,-1,75000.0,,62.5,,1.0,,,161.0,2147.0,0.452,3.0,Critical,15.0,8.99,38.0
2021-09-30,Kleberg County,Texas,TX,All Residential,-1,271500.0,3.5250000000000004,112.8218272955115,175000.0,2.0,1.0,1.0,70.0,6926.0,0.599,3.0,Critical,30.0,8.19,35.0
2021-09-30,Wilbarger County,Texas,TX,All Residential,-1,210000.0,,32.674653804263265,,1.0,,,21.0,3425.0,0.514,2.0,High,30.0,8.19,35.0
2021-09-30,Guadalupe County,New Mexico,NM,All Residential,-1,135000.0,,135.0,170000.0,1.0,,,35.0,1339.0,0.617,5.0,Extreme,30.0,8.19,38.0
2021-09-30,Calhoun County,Georgia,GA,All Residential,-1,32000.0,,21.33333333333333,,1.0,,,47.0,1346.0,0.476,2.0,High,35.0,7.91,37.0
2021-09-30,Sharkey County,Mississippi,MS,All Residential,-1,65000.0,,40.625,,1.0,,,264.0,946.0,0.543,3.0,Critical,15.0,8.99,38.0
2021-09-30,Bolivar County,Mississippi,MS,All Residential,-1,115000.0,,67.25146198830409,164900.0,1.0,,0.0,92.0,9138.0,0.578,3.0,Critical,15.0,8.99,38.0
2021-10-31,Atkinson County,Georgia,GA,All Residential,-1,55000.0,,62.21719457013575,,1.0,,,682.0,2067.0,0.389,3.0,Critical,35.0,7.91,37.0
2021-10-31,Wolfe County,Kentucky,KY,All Residential,-1,40000.0,-0.8620689655172413,40.0,,1.0,0.0,0.0,70.0,2226.0,0.529,5.0,Extreme,22.0,8.58,39.0
2021-10-31,Lauderdale County,Mississippi,MS,All Residential,-1,36000.0,,24.930747922437675,,1.0,,,48.0,18550.0,0.504,3.0,Critical,15.0,8.99,38.0
2021-10-31,Grenada County,Mississippi,MS,All Residential,-1,231000.0,1.5695216907675196,104.71441523118769,120000.0,1.0,0.0,,61.0,5463.0,0.516,3.0,Critical,15.0,8.99,38.0
2021-10-31,Hardeman County,Texas,TX,All Residential,-1,15000.0,,17.942583732057415,,1.0,,,20.0,551.0,0.457,3.0,Critical,30.0,8.19,35.0
2021-10-31,Tippah County,Mississippi,MS,All Residential,-1,379000.0,,58.1466707579012,,1.0,,,400.0,7161.0,0.412,3.0,Critical,15.0,8.99,38.0
