period_end,county,state,state_code,median_ppsf,tax_burden,medianage,cost_of_living_rank,elementary_school_rating,middle_school_rating,high_school_rating,daily_cases,percentage_fully_vaccinated,risk_index,risk
2023-12-31,Santa Rosa County,Florida,FL,173.51753269947417,6.97,42.0,45.0,10,7,3,48324.0,54.1,1.0,Medium
2023-12-31,Wagoner County,Oklahoma,OK,135.28918411651046,7.13,37.0,44.0,7,2,9,21699.0,47.1,1.0,Medium
2023-12-31,Monroe County,Florida,FL,607.3057047526041,6.97,42.0,45.0,6,9,10,18020.0,78.2,1.0,Medium
2023-12-31,Sarpy County,Nebraska,NE,138.88888549804688,9.01,37.0,14.0,3,2,10,49776.0,66.0,0.0,Low
2023-12-31,Delaware County,Pennsylvania,PA,168.53642024771813,8.46,41.0,23.0,7,8,1,110466.0,63.2,2.0,High
2023-12-31,Beaver County,Pennsylvania,PA,124.07982437133788,8.46,41.0,23.0,9,8,7,40192.0,54.2,1.0,Medium
2023-12-31,Fillmore County,Minnesota,MN,113.47265625,9.99,38.0,6.0,8,7,5,4790.0,68.5,1.0,Medium
2023-12-31,Douglas County,Washington,WA,255.44140625,8.34,38.0,24.0,8,9,10,11072.0,61.7,1.0,Medium
2023-12-31,Carroll County,Ohio,OH,117.05850326789005,8.96,39.0,16.0,9,10,10,5254.0,43.9,0.0,Low
2023-12-31,St. Joseph County,Michigan,MI,113.77407348632812,8.34,40.0,24.0,2,4,9,13692.0,45.2,2.0,High
2023-12-31,Grant County,Minnesota,MN,88.1790771484375,9.99,38.0,6.0,10,4,4,1471.0,55.00000000000001,2.0,High
2023-12-31,Jasper County,Mississippi,MS,125.1345238030338,8.99,38.0,15.0,5,4,5,4883.0,50.6,2.0,High
2023-12-31,Clark County,Arkansas,AR,82.8779296875,8.8,38.0,20.0,7,10,1,5309.0,48.8,1.0,Medium
2023-12-31,Spokane County,Washington,WA,201.36558532714844,8.34,38.0,24.0,2,3,1,124264.0,61.2,1.0,Medium
2023-12-31,Sabine County,Texas,TX,125.224196593536,8.19,35.0,30.0,4,2,6,1242.0,37.0,1.0,Medium
2023-12-31,Warren County,Missouri,MO,172.833984375,7.75,39.0,39.0,10,10,3,8133.0,41.7,4.0,Unknown
2023-12-31,Guilford County,North Carolina,NC,141.03442543254909,8.07,39.0,34.0,5,3,8,117251.0,61.3,2.0,High
2023-12-31,Archer County,Texas,TX,2112.408001357573,8.19,35.0,30.0,5,4,5,2156.0,60.5,1.0,Medium
2023-12-31,Harney County,Oregon,OR,71.88937792677291,8.29,39.0,27.0,10,2,6,1603.0,46.0,1.0,Medium
2023-12-31,Walker County,Texas,TX,141.4482421875,8.19,35.0,30.0,2,1,1,18453.0,48.2,1.0,Medium
2023-12-31,Putnam County,Indiana,IN,107.6962890625,8.15,38.0,33.0,1,9,9,9317.0,42.6,1.0,Medium
2023-12-31,Delta County,Texas,TX,66.39690654898284,8.19,35.0,30.0,5,7,3,1813.0,35.8,2.0,High
2023-12-31,Monroe County,Missouri,MO,90.22347344292535,7.75,39.0,39.0,9,6,7,2173.0,44.3,4.0,Unknown
